threshold,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1,f0_5,balanced_accuracy,predicted_positive_rate,false_positive_rate,false_negative_rate
0.15584980651608865,11186,7505,1185,4124,0.63791666666666669,0.35463066471751653,0.77679412318704089,0.59846985180033174,0.4869524146888653,0.39787747226242159,0.68763198749368626,0.48454166666666665,0.40153014819966831,0.22320587681295911
0.15585727198338659,11186,7505,1186,4123,0.63787499999999997,0.35457516339869283,0.77660576379732527,0.59846985180033174,0.48686308082895435,0.39781169796028637,0.68753780779882856,0.48449999999999999,0.40153014819966831,0.22339423620267471
0.15585773388754731,11187,7504,1186,4123,0.63791666666666669,0.35460565924142085,0.77660576379732527,0.59852335348563479,0.48689182805857345,0.39784240693208794,0.68756455864148003,0.48445833333333332,0.40147664651436521,0.22339423620267471
0.15586307540963448,11188,7503,1186,4123,0.63795833333333329,0.35463616033029416,0.77660576379732527,0.59857685517093784,0.48692057868320049,0.39787312064539787,0.6875913094841315,0.48441666666666666,0.40142314482906211,0.22339423620267471
0.15586353338150138,11189,7502,1186,4123,0.63800000000000001,0.35466666666666669,0.77660576379732527,0.598630356856241,0.48694933270343688,0.39790383910131444,0.68761806032678319,0.484375,0.401369643143759,0.22339423620267471
0.15586382180737612,11190,7501,1186,4123,0.63804166666666662,0.35469717825189262,0.77660576379732527,0.59868385854154405,0.48697809011988424,0.39793456230093621,0.68764481116943466,0.48433333333333334,0.40131614145845595,0.22339423620267471
0.15587608177649301,11191,7500,1186,4123,0.63808333333333334,0.35472769508732688,0.77660576379732527,0.59873736022684709,0.48700685093314433,0.39796529024536204,0.68767156201208612,0.48429166666666668,0.40126263977315285,0.22339423620267471
0.1558798277049171,11191,7500,1187,4122,0.63804166666666662,0.35467217346411978,0.77641740440760976,0.59873736022684709,0.48691748863032308,0.39789949224858584,0.68757738231722842,0.48425000000000001,0.40126263977315285,0.22358259559239027
0.15589410856202035,11192,7499,1187,4122,0.63808333333333334,0.35470269339987953,0.77641740440760976,0.59879086191215025,0.48694624926166569,0.39793022223080338,0.68760413315988,0.48420833333333335,0.40120913808784975,0.22358259559239027
0.15591493942184204,11193,7498,1187,4122,0.63812500000000005,0.35473321858864026,0.77641740440760976,0.5988443635974533,0.48697501329080278,0.39796095695997219,0.68763088400253158,0.48416666666666669,0.4011556364025467,0.22358259559239027
