fold,k,metric,weights,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,TN,FP,FN,TP
1,31,manhattan,distance,0.80458333333333332,0.62970711297071125,0.28342749529190209,0.9526484751203852,0.39090909090909093,0.61803798520614361,0.74743447708121113,0.50718914383499636,3561,177,761,301
2,1,euclidean,uniform,0.73354166666666665,0.39617224880382773,0.38983050847457629,0.83119315141787053,0.39297579496915047,0.61051182994622344,0.61051182994622344,0.28944002919471246,3107,631,648,414
2,3,euclidean,uniform,0.78020833333333328,0.50446998722860792,0.371939736346516,0.89620117710005354,0.42818428184281843,0.63407045672328477,0.68532889678861886,0.38365295310637965,3350,388,667,395
2,5,euclidean,uniform,0.79562500000000003,0.55761024182076813,0.36911487758945388,0.91680042803638306,0.44419263456090652,0.6429576528129185,0.71009931088963651,0.43559271977944802,3427,311,670,392
2,7,euclidean,uniform,0.80812499999999998,0.60698027314112291,0.37664783427495291,0.93071161048689144,0.46484601975595585,0.6536797223809222,0.72921496938350872,0.46277371795354627,3479,259,662,400
2,9,euclidean,uniform,0.81270833333333337,0.62714508580343209,0.37853107344632769,0.93606206527554847,0.47210804462712858,0.65729656936093805,0.73919228285063365,0.47763445153771733,3499,239,660,402
2,11,euclidean,uniform,0.81541666666666668,0.64193548387096777,0.37476459510357818,0.9406099518459069,0.47324613555291317,0.65768727347474254,0.7441069425929453,0.48666559364806483,3516,222,664,398
2,13,euclidean,uniform,0.81645833333333329,0.64811783960720126,0.3728813559322034,0.94248261102193687,0.47340107591153618,0.65768198347707019,0.74627634544793187,0.49351982167856029,3523,215,666,396
2,15,euclidean,uniform,0.81708333333333338,0.65333333333333332,0.36911487758945388,0.94435527019796683,0.47172081829121543,0.65673507389371033,0.75064248281254553,0.4993822314700071,3530,208,670,392
2,17,euclidean,uniform,0.81874999999999998,0.66216216216216217,0.36911487758945388,0.94649545211342967,0.4740024183796856,0.6578051648514418,0.75377567286251346,0.50276774620390019,3538,200,670,392
2,19,euclidean,uniform,0.82145833333333329,0.67461669505962518,0.3728813559322034,0.94890315676832526,0.48029108550636751,0.66089225635026438,0.75161571643194192,0.50689078088787964,3547,191,666,396
2,21,euclidean,uniform,0.81916666666666671,0.66898954703832758,0.3615819209039548,0.94917067950775813,0.46943765281173594,0.65537630020585647,0.75300005844187923,0.50876941064458225,3548,190,678,384
2,23,euclidean,uniform,0.81874999999999998,0.66961130742049468,0.3568738229755179,0.94997324772605674,0.4656019656019656,0.65342353535078734,0.75217267761545037,0.51243678777596535,3551,187,683,379
2,25,euclidean,uniform,0.81854166666666661,0.66783831282952544,0.35781544256120529,0.949438202247191,0.46597179644389947,0.65362682240419812,0.75398739872173504,0.51374212205093883,3549,189,682,380
2,27,euclidean,uniform,0.82062500000000005,0.67724867724867721,0.3615819209039548,0.9510433386837881,0.47145488029465932,0.6563126297938715,0.75770211065869042,0.51733238488114508,3555,183,678,384
2,29,euclidean,uniform,0.82041666666666668,0.67667844522968201,0.36064030131826741,0.9510433386837881,0.47051597051597049,0.65584182000102775,0.75667358396838502,0.51895263365929134,3555,183,679,383
2,31,euclidean,uniform,0.81999999999999995,0.67615658362989328,0.35781544256120529,0.95131086142322097,0.46798029556650245,0.65456315199221315,0.75987151351367688,0.52073187171498458,3556,182,682,380
2,1,euclidean,distance,0.73354166666666665,0.39617224880382773,0.38983050847457629,0.83119315141787053,0.39297579496915047,0.61051182994622344,0.61051182994622344,0.28944002919471246,3107,631,648,414
2,3,euclidean,distance,0.77604166666666663,0.49198520345252772,0.37570621468926552,0.88978063135366503,0.42605445808862785,0.63274342302146525,0.68124061025413163,0.40731725800097235,3326,412,663,399
2,5,euclidean,distance,0.79041666666666666,0.53846153846153844,0.36911487758945388,0.9101123595505618,0.43798882681564244,0.63961361857000787,0.70687027111993783,0.46059122869651653,3402,336,670,392
