fold,k,accuracy,precision,recall,f1,balanced_accuracy
4,5,0.7916666666666666,0.5465465465465466,0.3427495291902072,0.4212962962962963,0.6309788309407429
4,7,0.7960416666666666,0.567699836867863,0.327683615819209,0.4155223880597015,0.6283950449347516
4,9,0.801875,0.5951972555746141,0.3267419962335217,0.4218844984802432,0.6318033148636844
4,11,0.8029166666666666,0.6006944444444444,0.3258003766478343,0.42246642246642246,0.6321350732891392
4,13,0.80375,0.603448275862069,0.3295668549905838,0.42630937880633374,0.6340183124605139
4,15,0.8039583333333333,0.6074600355239786,0.3220338983050847,0.4209230769230769,0.6314556864452122
4,17,0.8035416666666667,0.6075949367088608,0.3163841807909605,0.41609907120743034,0.6291658731670158
4,19,0.8039583333333333,0.6098003629764065,0.3163841807909605,0.41661500309981403,0.6294333959064486
4,21,0.8052083333333333,0.6148282097649186,0.32015065913371,0.42105263157894735,0.6315841578172563
4,23,0.8070833333333334,0.6227436823104693,0.3248587570621469,0.42698019801980197,0.6344732522603405
4,25,0.8075,0.6245487364620939,0.3258003766478343,0.4282178217821782,0.6350778234229005
4,27,0.8066666666666666,0.6236162361623616,0.3182674199623352,0.42144638403990026,0.6318463905590167
4,29,0.8072916666666666,0.62708719851577,0.3182674199623352,0.42223610243597753,0.632247674668166
4,31,0.8077083333333334,0.6308851224105462,0.3154425612052731,0.42059008160703076,0.631504052138217
5,1,0.7358333333333333,0.3998063891577928,0.3892554194156456,0.3944603629417383,0.611717840758906
5,3,0.775625,0.4891008174386921,0.3383600377002828,0.4,0.6190329206955546
5,5,0.791875,0.5478395061728395,0.33459000942507067,0.4154476301930954,0.6281134053544182
5,7,0.8004166666666667,0.5883361921097771,0.3232799245994345,0.4172749391727494,0.6295458194807817
5,9,0.8058333333333333,0.6141592920353982,0.32704995287464655,0.4268142681426814,0.6343727967101235
5,11,0.8083333333333333,0.6252220248667851,0.33176248821866167,0.43349753694581283,0.6376651435476833
5,13,0.8089583333333333,0.6267605633802817,0.3355325164938737,0.4370779619398404,0.6394164320902105
5,15,0.8085416666666667,0.6267857142857143,0.3308199811498586,0.4330660086366441,0.6374613412034396
5,17,0.80875,0.6307129798903108,0.32516493873704055,0.4291044776119403,0.6355698991625829
5,19,0.8114583333333333,0.6433823529411765,0.3298774740810556,0.43613707165109034,0.6389959715952216
5,21,0.8120833333333334,0.6458715596330276,0.33176248821866167,0.4383561643835616,0.6400722042591035
5,23,0.813125,0.6518518518518519,0.33176248821866167,0.4397251717676452,0.640740832234498
5,25,0.8135416666666667,0.6590038314176245,0.3242224316682375,0.43461781427668983,0.6383080599100749
5,27,0.8147916666666667,0.6647509578544061,0.32704995287464655,0.43840808591282376,0.6401229972985161
5,29,0.814375,0.6615969581749049,0.32799245994344955,0.43856332703213613,0.6401930740476809
5,31,0.8145833333333333,0.6641074856046065,0.32610744580584355,0.43742098609355246,0.6396517437641146
