k,metric,weights,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,specificity_mean,specificity_std,specificity_count,f1_mean,f1_std,f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count
21,euclidean,uniform,0.81262500000000004,0.0049969608819317073,5,0.64450941184956401,0.01952351893310468,5,0.34074044491303551,0.015660251300566301,5,0.94665872755910652,0.0025303990227163523,5,0.44575674078844296,0.017758061792110504,5,0.64369958623607104,0.0087260454556503959,5,0.74517923651433859,0.0056562711775863719,5,0.49503884963389727,0.011307600427636665,5
23,euclidean,uniform,0.81312499999999999,0.0041718717488543377,5,0.64814031214022771,0.017048980582338134,5,0.33942217749307318,0.012111022044903601,5,0.94767524241967627,0.002495165140396089,5,0.44550078033875307,0.014068254495146726,5,0.64354870995637481,0.0068983673765937786,5,0.74599611788430775,0.0050807689656751634,5,0.49789926191976458,0.010981012101621007,5
25,euclidean,uniform,0.81325000000000003,0.0039791121287710762,5,0.65044444949839775,0.016701926465255222,5,0.3367842226801635,0.013452851218322431,5,0.94858467663519774,0.0030330337708190367,5,0.44370619298672931,0.014358922095448064,5,0.64268444965768068,0.0070389123022652333,5,0.74786177374842189,0.0055704401624861576,5,0.50036092645827834,0.011141451504403547,5
27,euclidean,uniform,0.81387500000000002,0.0049620959113396207,5,0.65510865967004095,0.019881605789077397,5,0.33471319208152062,0.016294312229690373,5,0.94997575195068362,0.0028785901979620407,5,0.4429843288167753,0.018036947797058518,5,0.64234447201610212,0.0088285194373134476,5,0.7495100576300413,0.0062422729018072696,5,0.50186628022785118,0.011484167825869578,5
29,euclidean,uniform,0.81383333333333341,0.0046738226384359042,5,0.65424952768334144,0.018166787149499902,5,0.33565498916383113,0.015698353119013238,5,0.94965476759292922,0.0023618371291257633,5,0.44362684785492662,0.0173858880341962,5,0.64265487837838031,0.0084994956161169796,5,0.74967774624159089,0.0060587206892311288,5,0.50360397915029098,0.010708957296446832,5
31,euclidean,uniform,0.81412499999999999,0.0043586002149007576,5,0.65708004933551878,0.016589280454427785,5,0.33377139499921016,0.01578306161608356,5,0.95056430197743591,0.0020882163851231308,5,0.44261156272145569,0.017115865659020544,5,0.64216784848832309,0.0083283984415667926,5,0.75121954748338005,0.0065439376538809603,5,0.50637657393016899,0.010316529571663872,5
1,euclidean,distance,0.73020833333333335,0.0055726732812896992,5,0.39006269671493082,0.010814543991281905,5,0.3891505189113777,0.011008953688178084,5,0.82708217334071144,0.0066154123022652989,5,0.38955305481688762,0.0096741230622575791,5,0.60811634612604459,0.006229445672584424,5,0.60811634612604459,0.0062294456725844232,5,0.28697222543450956,0.005441993870568651,5
3,euclidean,distance,0.77412499999999995,0.0018945737573982603,5,0.48594167600679317,0.0057186585869311397,5,0.36597868975542741,0.015175904439386149,5,0.89005370631684211,0.0038040522046738448,5,0.41740635483011646,0.011203368115236922,5,0.62801619803613484,0.0061040674410702796,5,0.67450209866055499,0.0054820947102395901,5,0.39792813639263913,0.0077449016899005666,5
5,euclidean,distance,0.78916666666666668,0.0019037153002601042,5,0.53525596335968961,0.0059471214029621095,5,0.35543201790585932,0.014425254816102509,5,0.91236401523656119,0.0028557631013782789,5,0.42709080611332706,0.011635739324567806,5,0.63389801657121025,0.0061069767266478704,5,0.70010207500924726,0.0040936141089431164,5,0.44495426151183126,0.010133654953482027,5
7,euclidean,distance,0.79800000000000004,0.0039131189606246668,5,0.57117184887001771,0.013287737663042377,5,0.34789604377776712,0.01895702629028765,5,0.9258464171915165,0.0034602490639987918,5,0.4322596048607048,0.017394329871157254,5,0.63687123048464178,0.0088916681139686368,5,0.71466188904844952,0.0052046920221233426,5,0.46590426575518168,0.010992263152402745,5
9,euclidean,distance,0.80345833333333339,0.003276203129301416,5,0.59486791173033537,0.011615075161902718,5,0.3495914915218738,0.019260220546257679,5,0.93237354273802764,0.0039080486337567935,5,0.44016477705679263,0.016659121490667759,5,0.6409825171299508,0.0085019756107384305,5,0.72566578906358448,0.0054661692939023104,5,0.47897912939943421,0.014457909525674944,5
11,euclidean,distance,0.80658333333333343,0.0047085176955055435,5,0.61028681816793673,0.016339990203665788,5,0.34714328059908661,0.020204503113541734,5,0.93708174261407573,0.0030881819061530928,5,0.44239927038643145,0.019619319240982095,5,0.64211251160658112,0.0099588969535400699,5,0.73201152553474969,0.0051818616239189498,5,0.48788085774205514,0.015953053851294721,5
13,euclidean,distance,0.80824999999999991,0.0032362154251189702,5,0.61912433043748638,0.012163182831850061,5,0.34601422457937742,0.013478980339642775,5,0.93954289457743789,0.0026334015078397321,5,0.44384332916605362,0.01303767381924475,5,0.64277855957840768,0.0065790183339248954,5,0.73536209300884781,0.0045900559414784421,5,0.49418134870579544,0.015688805905385371,5
15,euclidean,distance,0.80904166666666666,0.0038769036542638919,5,0.62312769122845002,0.012404207788744159,5,0.34544854284147242,0.018482315196579453,5,0.9407200232506524,0.0016710676055478903,5,0.44436781687595567,0.01801367948504427,5,0.64308428304606247,0.0090174131961304298,5,0.73877407689967789,0.0051997245145164531,5,0.4978982445020419,0.015214418278949225,5
17,euclidean,distance,0.8101666666666667,0.0046687123492457454,5,0.63007296560971982,0.016807935456097867,5,0.34299997692543899,0.017800835341853789,5,0.94286009068727528,0.0020981351187506049,5,0.4441101847735619,0.018630982084930955,5,0.64293003380635705,0.0092564374329709345,5,0.74130048486712896,0.0055751579382238587,5,0.50111504174287003,0.014441998720204092,5
19,euclidean,distance,0.8115,0.0049265437512858376,5,0.63718953542290868,0.018631044531299126,5,0.34300050941530841,0.017612540412539776,5,0.94457207881124039,0.0026418283947080416,5,0.44586336785945307,0.018765031405793622,5,0.64378629411327437,0.0092901696075691938,5,0.7427816502494945,0.0041591405374236095,5,0.50333376727161083,0.013432059919561543,5
