threshold,TP,TN,FP,FN,accuracy,precision,recall,specificity,f1,balanced_accuracy,predicted_positive_rate,false_positive_rate,false_negative_rate
0.11131956531138185,4494,7613,11078,815,0.50445833333333334,0.28859491394811199,0.8464870973818045,0.4073083302124017,0.43043915521287296,0.62689771379710313,0.64883333333333337,0.59269166978759835,0.1535129026181955
0.11133002209488109,4493,7613,11078,816,0.50441666666666662,0.28854922612548967,0.84629873799208888,0.4073083302124017,0.43036398467432951,0.62680353410224532,0.64879166666666666,0.59269166978759835,0.15370126200791112
0.11133807418656677,4493,7614,11077,816,0.50445833333333334,0.28856775850995503,0.84629873799208888,0.40736183189770475,0.4303845969634561,0.62683028494489679,0.64875000000000005,0.59263816810229519,0.15370126200791112
0.11136781916645348,4492,7614,11077,817,0.50441666666666662,0.28852206307405742,0.84611037860237337,0.40736183189770475,0.43030941661078648,0.62673610525003909,0.64870833333333333,0.59263816810229519,0.15388962139762663
0.11136830771361086,4492,7615,11076,817,0.50445833333333334,0.2885405960945529,0.84611037860237337,0.40741533358300785,0.43033002826076544,0.62676285609269056,0.64866666666666661,0.59258466641699215,0.15388962139762663
0.11141198930279007,4492,7616,11075,817,0.50449999999999995,0.28855913149611356,0.84611037860237337,0.40746883526831096,0.43035064188541866,0.62678960693534214,0.64862500000000001,0.5925311647316891,0.15388962139762663
0.11141561066063198,4492,7617,11074,817,0.50454166666666667,0.28857766927919826,0.84611037860237337,0.40752233695361406,0.43037125748502997,0.62681635777799372,0.64858333333333329,0.59247766304638594,0.15388962139762663
0.11141969210862085,4492,7618,11073,817,0.50458333333333338,0.28859620944426601,0.84611037860237337,0.40757583863891711,0.43039187505988313,0.62684310862064518,0.64854166666666668,0.59242416136108289,0.15388962139762663
0.11143246291648949,4492,7619,11072,817,0.50462499999999999,0.28861475199177589,0.84611037860237337,0.40762934032422021,0.43041249461026204,0.62686985946329676,0.64849999999999997,0.59237065967577984,0.15388962139762663
0.11144491457841145,4492,7620,11071,817,0.50466666666666671,0.28863329692218725,0.84611037860237337,0.40768284200952332,0.43043311613645074,0.62689661030594834,0.64845833333333336,0.59231715799047668,0.15388962139762663
0.11144899150813195,4492,7621,11070,817,0.50470833333333331,0.28865184423595941,0.84611037860237337,0.40773634369482636,0.43045373963873318,0.62692336114859981,0.64841666666666664,0.59226365630517364,0.15388962139762663
0.1114749569376141,4492,7622,11069,817,0.50475000000000003,0.28867039393355182,0.84611037860237337,0.40778984538012947,0.4304743651173934,0.62695011199125139,0.64837500000000003,0.59221015461987059,0.15388962139762663
0.11147714128415037,4492,7623,11068,817,0.50479166666666664,0.28868894601542416,0.84611037860237337,0.40784334706543257,0.43049499257271551,0.62697686283390297,0.64833333333333332,0.59215665293456743,0.15388962139762663
0.11149720591842319,4492,7624,11067,817,0.50483333333333336,0.28870750048203614,0.84611037860237337,0.40789684875073567,0.43051562200498372,0.62700361367655455,0.64829166666666671,0.59210315124926427,0.15388962139762663
0.11149975804613854,4492,7625,11066,817,0.50487499999999996,0.28872605733384754,0.84611037860237337,0.40795035043603872,0.43053625341448221,0.62703036451920602,0.64824999999999999,0.59204964956396133,0.15388962139762663
0.11152300562924027,4492,7626,11065,817,0.50491666666666668,0.28874461657131839,0.84611037860237337,0.40800385212134183,0.43055688680149523,0.6270571153618576,0.64820833333333339,0.59199614787865817,0.15388962139762663
0.11153250714688942,4491,7626,11065,818,0.50487499999999996,0.28869889431730522,0.84592201921265775,0.40800385212134183,0.43048166786484543,0.62696293566699979,0.64816666666666667,0.59199614787865817,0.15407798078734225
0.11154535058601053,4491,7627,11064,818,0.50491666666666668,0.28871745419479267,0.84592201921265775,0.40805735380664493,0.43050230061349692,0.62698968650965137,0.64812499999999995,0.59194264619335502,0.15407798078734225
0.11154606273495463,4490,7627,11064,819,0.50487499999999996,0.28867172431528865,0.84573365982294213,0.40805735380664493,0.43042707184968604,0.62689550681479356,0.64808333333333334,0.59194264619335502,0.15426634017705787
0.11154726908951555,4489,7627,11064,820,0.50483333333333336,0.28862598855526267,0.84554530043322662,0.40805735380664493,0.43035183587383757,0.62680132711993575,0.64804166666666663,0.59194264619335502,0.15445469956677338
0.11156474738603901,4489,7628,11063,820,0.50487499999999996,0.28864454732510286,0.84554530043322662,0.40811085549194798,0.43037246536599394,0.62682807796258733,0.64800000000000002,0.59188914450805208,0.15445469956677338
0.11156519508082136,4489,7629,11062,820,0.50491666666666668,0.28866310848176968,0.84554530043322662,0.40816435717725108,0.43039309683604987,0.62685482880523891,0.6479583333333333,0.59183564282274892,0.15445469956677338
0.11159779683006074,4489,7630,11061,820,0.50495833333333329,0.28868167202572348,0.84554530043322662,0.40821785886255418,0.43041373028428975,0.62688157964789037,0.6479166666666667,0.59178214113744576,0.15445469956677338
0.11159858814449336,4489,7631,11060,820,0.505,0.28870023795742489,0.84554530043322662,0.40827136054785723,0.43043436571099819,0.62690833049054195,0.64787499999999998,0.59172863945214282,0.15445469956677338
0.11161726775506188,4489,7632,11059,820,0.50504166666666672,0.28871880627733471,0.84554530043322662,0.40832486223316034,0.43045500311645968,0.62693508133319353,0.64783333333333337,0.59167513776683966,0.15445469956677338
0.11161930657079347,4489,7633,11058,820,0.50508333333333333,0.28873737698591367,0.84554530043322662,0.40837836391846344,0.43047564250095893,0.626961832175845,0.64779166666666665,0.59162163608153651,0.15445469956677338
0.11161982264016125,4489,7634,11057,820,0.50512500000000005,0.28875595008362281,0.84554530043322662,0.40843186560376654,0.43049628386478062,0.62698858301849658,0.64775000000000005,0.59156813439623346,0.15445469956677338
0.11163233704837804,4489,7635,11056,820,0.50516666666666665,0.28877452557092315,0.84554530043322662,0.40848536728906959,0.43051692720820944,0.62701533386114816,0.64770833333333333,0.59151463271093041,0.15445469956677338
0.11163527744719365,4489,7636,11055,820,0.50520833333333337,0.28879310344827586,0.84554530043322662,0.40853886897437269,0.43053757253153024,0.62704208470379963,0.64766666666666661,0.59146113102562725,0.15445469956677338
0.11164827194477479,4489,7637,11054,820,0.50524999999999998,0.2888116837161423,0.84554530043322662,0.4085923706596758,0.43055821983502779,0.62706883554645121,0.64762500000000001,0.5914076293403242,0.15445469956677338
0.11167587330459956,4489,7638,11053,820,0.50529166666666669,0.28883026637498393,0.84554530043322662,0.40864587234497884,0.43057886911898707,0.62709558638910279,0.64758333333333329,0.59135412765502116,0.15445469956677338
0.11168142668908858,4489,7639,11052,820,0.5053333333333333,0.28884885142526223,0.84554530043322662,0.40869937403028195,0.43059952038369304,0.62712233723175426,0.64754166666666668,0.591300625969718,0.15445469956677338
0.11168930805253471,4489,7640,11051,820,0.50537500000000002,0.28886743886743887,0.84554530043322662,0.40875287571558505,0.43062017362943067,0.62714908807440584,0.64749999999999996,0.59124712428441495,0.15445469956677338
0.11168971856431639,4489,7641,11050,820,0.50541666666666663,0.28888602870197566,0.84554530043322662,0.40880637740088815,0.43064082885648503,0.62717583891705742,0.64745833333333336,0.5911936225991119,0.15445469956677338
0.11169084494667759,4489,7642,11049,820,0.50545833333333334,0.28890462092933455,0.84554530043322662,0.4088598790861912,0.43066148606514126,0.62720258975970888,0.64741666666666664,0.59114012091380874,0.15445469956677338
0.11169795407511537,4489,7643,11048,820,0.50549999999999995,0.28892321554997746,0.84554530043322662,0.40891338077149431,0.43068214525568455,0.62722934060236046,0.64737500000000003,0.59108661922850569,0.15445469956677338
0.11169841597665267,4489,7644,11047,820,0.50554166666666667,0.28894181256436663,0.84554530043322662,0.40896688245679741,0.43070280642840009,0.62725609144501204,0.64733333333333332,0.59103311754320265,0.15445469956677338
0.11169903035179114,4489,7645,11046,820,0.50558333333333338,0.28896041197296429,0.84554530043322662,0.40902038414210046,0.43072346958357322,0.62728284228766351,0.64729166666666671,0.59097961585789949,0.15445469956677338
0.11170486187551598,4489,7646,11045,820,0.50562499999999999,0.28897901377623281,0.84554530043322662,0.40907388582740356,0.4307441347214892,0.62730959313031509,0.64724999999999999,0.59092611417259644,0.15445469956677338
