stage,outer_fold,inner_fold,configuration_id,row_type,validation_rows,average_precision,roc_auc,oof_average_precision,oof_roc_auc,selected_threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,TP,TN,FP,FN,predicted_positive_rate,k,selected
1,2,1,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50057880369064756,0.74349840393213085,,,,,,,,,,,,,,,,
1,2,1,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50403334024188551,0.74544630387862632,,,,,,,,,,,,,,,,
1,2,1,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50486615411730584,0.74607345199553832,,,,,,,,,,,,,,,,
1,2,1,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50798348332010812,0.75041672901306755,,,,,,,,,,,,,,,,
1,2,1,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51034843162711663,0.75536561629984322,,,,,,,,,,,,,,,,
1,2,1,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51091221394664976,0.75918447506597375,,,,,,,,,,,,,,,,
1,2,2,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49280472682582782,0.73803005776677455,,,,,,,,,,,,,,,,
1,2,2,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50841495969529416,0.74322004142068165,,,,,,,,,,,,,,,,
1,2,2,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50692573720003586,0.74713674152769094,,,,,,,,,,,,,,,,
1,2,2,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51083525422362364,0.75160286929473752,,,,,,,,,,,,,,,,
1,2,2,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51319808582070225,0.75278709667546306,,,,,,,,,,,,,,,,
1,2,2,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51741022495952427,0.75566289527618324,,,,,,,,,,,,,,,,
1,2,2,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51739052069500091,0.75867323457663394,,,,,,,,,,,,,,,,
1,2,2,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51541466254425283,0.75780520263713935,,,,,,,,,,,,,,,,
1,2,3,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.47242023046386611,0.71781429092932503,,,,,,,,,,,,,,,,
1,2,3,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49002602564881481,0.72572856378322226,,,,,,,,,,,,,,,,
1,2,3,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49730212236036242,0.73149256958153586,,,,,,,,,,,,,,,,
1,2,3,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5013763517675911,0.73281278464368371,,,,,,,,,,,,,,,,
1,2,3,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50470385853601174,0.73307470113520745,,,,,,,,,,,,,,,,
1,2,3,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50943901496106825,0.74007421557960085,,,,,,,,,,,,,,,,
1,2,3,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51226167209165951,0.74483627561128596,,,,,,,,,,,,,,,,
1,2,3,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51333604828200685,0.74762761783583964,,,,,,,,,,,,,,,,
1,2,0,k13__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.4830577338562751,0.72954576958906581,0.4823570077262842,0.72938118749634961,0.31383851385773343,0.76973958333333325,0.48110338835794952,0.52154461973157495,0.84023272921821712,0.50050841712800787,0.68088867447489587,2215,12564,2389,2032,0.2397916666666666,13,False
1,2,0,k19__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.4981167721867043,0.73483410214211575,0.49698549081275017,0.73466938421023165,0.30270670499151298,0.77239583333333306,0.48662170981074598,0.5267247468801507,0.84217213937002611,0.5058796924468566,0.68444844312508835,2237,12593,2360,2010,0.23942708333333321,19,False
1,2,0,k25__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.50160222108368202,0.74070923834711921,0.50020749229845807,0.7404897798361717,0.28777345694719342,0.77515624999999977,0.49233128834355822,0.52907935012950313,0.84504781649167393,0.51004426285325155,0.68706358331058826,2247,12636,2317,2000,0.2377083333333333,25,False
1,2,0,k31__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.50541498207769986,0.74328731927234915,0.5039545962773726,0.74300702282110165,0.28930170727553672,0.78046875000000004,0.50363801728058211,0.52154461973157495,0.85400922891727415,0.51243493348756486,0.68777692432442472,2215,12770,2183,2032,0.2290625,31,False
1,2,0,k35__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.50758936615800665,0.74397841660206965,0.50565792946063981,0.74364914153508632,0.270957864480254,0.77276041666666662,0.48765432098765432,0.53943960442665395,0.83902895739985284,0.5122414756847401,0.68923428091325345,2291,12546,2407,1956,0.2446875,35,False
1,2,0,k51__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.51161090774690032,0.74871794662295055,0.50963235695018605,0.74837788968183805,0.26905271138015641,0.77942708333333333,0.50134048257372654,0.52837296915469745,0.85073229452283805,0.51450189155107184,0.68955263183876792,2244,12721,2232,2003,0.233125,51,False
1,2,0,k75__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.51333354147125876,0.75295837549592104,0.51110666032858476,0.75249324895897396,0.26079151387584443,0.78390625000000003,0.51116681859617141,0.52813750882976196,0.85655052497826523,0.51951360741169661,0.6923440169040137,2243,12808,2145,2004,0.2285416666666665,75,True
1,2,0,k101__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.5132209749243033,0.75487243184631736,0.51094944709828194,0.75443735949913293,0.25415625185691171,0.78796875,0.52057035998129964,0.52437014363079815,0.86283688891861166,0.5224633431085044,0.69360351627470485,2227,12902,2051,2020,0.2228125,101,False
1,3,1,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.48058579205664592,0.72987210202591801,,,,,,,,,,,,,,,,
1,3,1,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49567400920990368,0.73881002541466023,,,,,,,,,,,,,,,,
1,3,1,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5000028481654718,0.74322287534800613,,,,,,,,,,,,,,,,
1,3,1,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5021109284880505,0.7433795915290512,,,,,,,,,,,,,,,,
1,3,1,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50242259780574183,0.74658717217128712,,,,,,,,,,,,,,,,
1,3,1,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51153277005196851,0.75154867043465645,,,,,,,,,,,,,,,,
